"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 22 16:54:45 CST 2020","Thu Oct 22 16:54:55 CST 2020","9425","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[pic_community-欢迎来中小企業エコシステム]",""
"passed","Thu Oct 22 16:54:02 CST 2020","Thu Oct 22 16:54:16 CST 2020","14241","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[community-欢迎来中小企業エコシステム]",""
"broken","Wed Oct 07 16:57:12 CST 2020","Wed Oct 07 16:57:52 CST 2020","39121","TestCases","test_5_homePageCase","TestHomePage","","","test_homepage[message-站内消息]",""
"passed","Thu Oct 22 16:56:01 CST 2020","Thu Oct 22 16:56:03 CST 2020","2095","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend3[4-40~50人未満]",""
"passed","Thu Oct 22 16:55:56 CST 2020","Thu Oct 22 16:55:58 CST 2020","2071","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend3[2-20~30人未満]",""
"passed","Thu Oct 22 16:52:29 CST 2020","Thu Oct 22 16:52:33 CST 2020","3808","TestCases","test_1_loginCase","TestLogin","","","test_fail_password_empty[--对不起！请输入密码！]",""
"passed","Thu Oct 22 17:00:14 CST 2020","Thu Oct 22 17:00:16 CST 2020","2066","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration4[3-商圈外]",""
"passed","Wed Oct 07 13:25:19 CST 2020","Wed Oct 07 13:25:28 CST 2020","9484","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[pic_community-]",""
"passed","Thu Oct 22 16:58:16 CST 2020","Thu Oct 22 16:58:18 CST 2020","2054","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration2[0-選択してください]",""
"passed","Wed Oct 21 15:44:15 CST 2020","Wed Oct 21 15:44:16 CST 2020","1359","TestCases","test_5_homePageCase","TestHomePage","","","test_myPage1[manage-我的基础信息]",""
"passed","Thu Oct 22 16:52:55 CST 2020","Thu Oct 22 16:53:06 CST 2020","11035","TestCases","test_1_loginCase","TestLogin","","","test_login[daido3-daido003-ログアウト]",""
"passed","Thu Oct 22 16:56:09 CST 2020","Thu Oct 22 16:56:11 CST 2020","2068","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend4[2-セキョリティ・リスク管理]",""
"passed","Wed Oct 07 13:24:30 CST 2020","Wed Oct 07 13:25:09 CST 2020","39014","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[pic_recommend-]",""
